Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
PIERRICK PIZZA;Restaurant;Pizzeria;;4 Zone Artisanale des Jaunins;Bourgneuf-en-Retz;44580;;;VILLENEUVE-EN-RETZ;44021;47.0409;-1.94427;;06 81 40 40 29;02 40 82 10 68;;masson.monica@free.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires,Espèces,Tickets Restaurant;47.0409, -1.94427;Loire-Atlantique
PITAYA;;;;8 boulevard Gustave Richard;;49300;;;CHOLET;49099;47.06249;-0.88039;;;02 41 85 78 86;;;https://cholet-gustaverichard.pitayaresto.fr/;;;;;;;;;;;Plats à emporter / Covid-19;;;;;;;;;;;;;;;;;;47.06249, -0.88039;Maine-et-Loire
PIZZA DIDIER;Restaurant;Pizzeria;;2 Rue des Iris;;44270;;;MACHECOUL-SAINT-MEME;44087;46.9988587;-1.8169161;;;02 40 78 56 17;;;https://www.pizzadidiermachecoul.fr/;;Facebook||https://www.facebook.com/Pizza-Didier-Machecoul-506900663101457/?ref=page_internal;;;;;;;;;Plats à emporter;;;;;;;;;;;oui;01/01/2023||31/12/2023||||||||||||||18:00||21:30||||||18:00||21:30||||||18:00||21:30||||||18:00||21:30||||||18:00||21:30||||||18:00||21:30||||;PIZZA DIDIER||02 40 78 56 17||;;;;Cartes bancaires,Espèces,Tickets Restaurant;46.9988587, -1.8169161;Loire-Atlantique
PIZZERIA IFÉRANA;Restaurant;Pizzeria;;Centre comercial Le Bois Jauni;Ancenis;44150;;;ANCENIS-SAINT-GEREON;44003;47.378552;-1.1874404;;;02 40 96 24 94;;;http://www.pizzas-iferana.fr;;;;;;;;;;;Plats à emporter,Plats à emporter / Covid-19;;;;;;;;;;;oui;||||||||||||||||11:00||14:00||17:00||22:00||11:00||14:00||17:00||22:00||11:00||14:00||17:00||22:00||11:00||14:00||17:00||22:00||11:00||14:00||17:00||22:00||||||||;;;;;Cartes bancaires,Espèces,Tickets Restaurant;47.378552, -1.1874404;Loire-Atlantique
PIZZERIA LA FLORENTINA;Restaurant;Pizzeria;;Rue du Grand Moulin;Z.A de la Lande;49170;;;SAINT-GEORGES-SUR-LOIRE;49283;47.405035;-0.7508549;"Route (nationale/départ.)||D723||0,5 ; Autoroute||A11, sortie n°19||10 ; Aéroport/aérodrome||Angers-Marcé||30 ; Gare SNCF||||7 ; Gare routière||||1";;02 41 72 00 49;;roinard.humeau@wanadoo.fr;http://www.pizzeria-restaurant-la-florentina.fr;;;;;;;;oui;;;Plats à emporter,Service en terrasse;50;1;40;;1;;oui;oui;;40;oui;;||02 41 72 00 49||;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.405035, -0.7508549;Maine-et-Loire
PIZZERIA LA PAUSA;Restaurant;Pizzeria;;1 r villeneuve;;72650;;;SAINT-SATURNIN;72320;48.0499418;0.17528641;;;02 43 23 03 30;;;;;"Facebook||https://www.facebook.com/LaTagliatella?fref=ts ; Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g226889-d2493082-Reviews-La_Tagliatella_Saint_Saturnin-Saint_Saturnin_Maine_et_Loire_Pays_de_la_Loire.html";;;;;;;;;;;;;;;;;;;;;;;;;;;48.0499418, 0.17528641;Sarthe
PIZZERIA LA PERGOLA;Restaurant;Pizzeria;;1 avenue du docteur Jean Mac;;72100;;;LE MANS;72181;47.9831396;0.2114342;;;02 43 85 08 80;;;https://pizzerialapergola.fr/fr;;"Facebook||https://www.facebook.com/pizzerialapergola.lemans ; ||https://www.ubereats.com/rennes/food-delivery/la-pergola/nzS7VG_UQryiGleYgW2Jaw ; ||https://pizzerialapergola.fr/fr ; ||https://deliveroo.fr/fr/menu/Le%20Mans/le-mans-sablons/pergola-pizza-feu-de-bois?day=today&geohash=u080uz1fn9te&time=1915 ; ||https://www.linkedin.com/in/nourredine-korbosli-b0b90a166/ ; Instagram||https://www.instagram.com/restaurantlapergolalemans/";;;;;;;;;Livraison à domicile / Covid-19,Plats à emporter,Plats à emporter / Covid-19;45;2;0;0;0;;oui;oui;;;oui;01/01/2023||31/12/2023||||||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||23:30||12:00||14:00||19:00||23:30||12:00||14:00||19:00||22:30;KORBOSLI||02.43.85.08.80||;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces,Tickets Restaurant;47.9831396, 0.2114342;Sarthe
PIZZERIA MES AMOURS DE PIZZAS;Restaurant;Pizzeria;;10 rue des Ponts;Les Rosiers-sur-Loire;49350;;;GENNES VAL DE LOIRE;49261;47.349937;-0.22627;Transport en commun||||;;02 41 03 22 54;;;;;Facebook||https://www.facebook.com/Mes-Amours-de-Pizzas-102234495021808/;;;;;;;;;Livraison à domicile / Covid-19,Plats à emporter,Plats à emporter / Covid-19;;;;;;;;;;;;;;;;;Cartes bancaires,Espèces;47.349937, -0.22627;Maine-et-Loire
PIZZERIA PIZZA MAIO;Restaurant;Pizzeria;;45 rue des Ponts Neufs;;72000;;;LE MANS;72181;48.0064919;0.19836209;;;02 43 28 60 87;;;https://www.facebook.com/pages/Pizza-Ma%C3%AFo/116378175085044;;"Facebook||https://www.facebook.com/pages/Pizza-Ma%C3%AFo/116378175085044 ; Google+||https://plus.google.com/110749689507393468966/about?gl=fr&hl=fr";;;;;;;;;;;;;;;;;;;;;;;;;;;48.0064919, 0.19836209;Sarthe
PIZZERIA PIZZA TEMPO;Restaurant;Pizzeria;;60 Rue du Portail Louis;;49400;;;SAUMUR;49328;47.258063;-0.079011;;;02 41 67 60 60;;;https://www.pizza-tempo.fr;;Facebook||https://www.facebook.com/pizzatemposaumur/;;;;;;;;;Climatisation,Livraison à domicile / Covid-19;;;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.258063, -0.079011;Maine-et-Loire
PIZZINELLA;Restaurant;Grill - Rôtisserie;;28 avenue Henri Bertho;;44500;;;LA BAULE-ESCOUBLAC;44055;47.29466;-2.36007;;;02 40 60 28 68;;;https://la-baule.pizzinella.fr/categories/pizza;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||11:30||13:30||18:30||22:30||11:30||13:30||||||11:30||13:30||||||11:30||13:30||||||11:30||13:30||||||11:30||13:30||||||11:30||13:30||18:30||22:30;;;;;;47.29466, -2.36007;Loire-Atlantique
PLATS A EMPORTER TIRAMISU & LASAGNES;Restaurant;Restauration rapide;;11 bis rue de Bazouges;;49430;;;LES RAIRIES;49257;47.6528239;-0.2040986;;07 81 86 96 35;;;tiramisulasagnes.firetto@gmail.com;;;;;;;;;;;;Livraison à domicile / Covid-19,Plats à emporter,Plats à emporter / Covid-19,Traiteur;;;;;;;;;;;oui;;Stéphanie FIRETTO||07 81 86 96 35||;;;;Chèques bancaires et postaux,Espèces;47.6528239, -0.2040986;Maine-et-Loire
POPOTE ET JAJA;Restaurant;Cuisine traditionnelle;;36 avenue Georges Clemenceau;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28783;-2.38779;;;02 51 75 02 03;;daniel.benaissa@hotmail.fr;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||||||||;;;;;;47.28783, -2.38779;Loire-Atlantique
RELAIS DES BICHES;;Cuisine traditionnelle;;7 rue Germaine de Terves;;49340;;;NUAILLE;49231;47.09551;-0.79706;;;02 41 64 71 79;;lerelaisdesbiches@gmail.com;;;;;;;;;oui;;;Service en terrasse,WiFi;;;;;;;;;;;;01/01/2023||31/12/2023||||||09:00||16:00||||||09:00||16:00||||||09:00||16:00||||||09:00||16:00||||||09:00||16:00||||||||||||||||||||;;;;;Chèques Vacances;47.09551, -0.79706;Maine-et-Loire
RENAUD TRAITEUR;;;;1 Rue du Gobillon;;72220;;;LAIGNE-EN-BELIN;72155;47.87576;0.22722;;;02 43 47 03 90;;contact@renaud-traiteur.org;https://www.renaudtraiteur.fr/;https://www.renaudtraiteur.fr/;"Facebook||https://www.facebook.com/renaud.traiteur ; Instagram||https://www.instagram.com/traiteur_renaud/";;;;;;;;;Traiteur;3000;;;;;;;;;;oui;01/01/2021||31/12/2030||||||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||||||||||||||||;;;;;;47.87576, 0.22722;Sarthe
REST'O BEL AIR;Restaurant;;;Camping Bel Air;165 avenue de Bonne Source;44380;;;PORNICHET;44132;47.24977;-2.32138;;;;;patriceoliva@hotmail.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.24977, -2.32138;Loire-Atlantique
RESTAURANT  AU PIED DE L'ESCALIER;Restaurant;Cuisine traditionnelle;;3 rue de la Collégiale;;44190;;;CLISSON;44043;47.0872425;-1.2807945;"Gare SNCF|||| ; Route (nationale/départ.)||||";;02 40 31 87 86;;contact@aupieddelescalier.fr;;;Google+||http://www.au-pied-de-l-escalier.fr;;;;;;oui;;;WiFi;40;2;;;;;oui;oui;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.0872425, -1.2807945;Loire-Atlantique
RESTAURANT - A KABOUL;Restaurant;Cuisine du Monde;;9-11 rue Dorée;;72000;;;LE MANS;72181;48.005695;0.194269;;06 83 38 83 12;;;akaboul1@bbox.fr;https://www.facebook.com/akaboulrestaurantlemans/;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g187195-d15218234-Reviews-A_Kaboul_Restaurant-Le_Mans_Sarthe_Pays_de_la_Loire.html;;;;;;non;;;Banquet,Séminaire,Service en terrasse,WiFi;120;3;40;1;;;oui;oui;;25;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;48.005695, 0.194269;Sarthe
RESTAURANT - CRÊPERIE LA TERRASSE;Restaurant;Crêperie;;1 place Delaroche Vernet;;44510;;;LE POULIGUEN;44135;47.27436;-2.42529;;;02 40 24 27 84;;creperie.laterrasse44@gmail.com;http://www.creperie-laterrasse.fr;;;;;;;;oui;;;Service en terrasse,WiFi;50;;60;;;;oui;oui;;40;;12/02/2022||31/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.27436, -2.42529;Loire-Atlantique
RESTAURANT - LE SEQUOIA;Hôtel restaurant;Restaurant gastronomique - cuisine raffinée;;;Chateau de la Ragotterie;72530;;;YVRE-L'EVEQUE;72386;48.0432157;0.30259609;"Autoroute||A28 - A11||3 ; Aéroport/aérodrome||Paris ou Nantes - Le Mans 8km||200 ; Gare SNCF||Le Mans TGV||11";;02 43 82 11 00;;contact@lemanscountryclub.com|;https://www.lemans-countryclub.com/fr/restauration;;Facebook||https://www.facebook.com/bwpremier.lemanscountryclub?fref=ts;;;;;;oui;20 € PAR ANIMAL ET PAR JOUR;;Banquet,Climatisation,Livraison à domicile / Covid-19,Plats à emporter,Plats à emporter / Covid-19,Séminaire,Service en terrasse,WiFi;250;1;20;4;;;oui;oui;0;50;oui;;SERAFIN||02 43 82 11 00||lmcc@wanadoo.fr;;;;Cartes bancaires,Espèces;48.0432157, 0.30259609;Sarthe
RESTAURANT 3 BRASSEURS;Restaurant;Brasserie;;rue Jean de Vignolles;;72650;;;SAINT-SATURNIN;72320;48.0480597;0.1730647;;;02 43 24 26 17;;3703@les3brasseurs.com;https://restaurants.3brasseurs.com/fr/s/brasseurs/le-mans/879;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;48.0480597, 0.1730647;Sarthe
RESTAURANT ABBAYE DE VILLENEUVE;;Cuisine traditionnelle;;Route de la Roche sur Yon;;44840;;;LES SORINIERES;44198;47.1085179;-1.537987;;;02 55 59 05 91;;welcome@abbayedevilleneuve.com;https://www.abbayedevilleneuve.com;;;;;;;;;;;;;;;;;;;;;;;;;oui;||http://www.nantes-tourisme.com/book/382390||||||;;;47.1085179, -1.537987;Loire-Atlantique
RESTAURANT AILLEURS - WESTOTEL LE POULIGUEN;Restaurant;Cuisine traditionnelle;;6 boulevard de La Libération;;44510;;;LE POULIGUEN;44135;47.27369;-2.42444;;;02 55 40 00 00;;reservation@westotel-lepouliguen.com;http://www.westotel-lepouliguen.com;;;;;;;;non;;;Séminaire,Service en terrasse,WiFi;200;15;150;26;;;oui;oui;;300;;16/01/2022||31/12/2022||ouverture ponctuel sur réservation||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.27369, -2.42444;Loire-Atlantique
RESTAURANT ASIATIQUE ETOILE BRIANT;Restaurant;Cuisine du Monde;;ZI route de St Nazaire;rue du Général Patton;44110;;;CHATEAUBRIANT;44036;47.7077059;-1.386466;;;02 28 04 57 92;;;;;;;;;;;;;;Plats à emporter,WiFi;200;;;;;;;;;;;||||||ouvert 7 jours/7||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Menu adulte du jour (midi en semaine)||13,50||0,00|| ; Menu adulte soir et week-end||18,80|||| ; Menu enfant||14,00||||";;47.7077059, -1.386466;Loire-Atlantique
RESTAURANT AU BISTROT RONSARD;Restaurant;Restaurant gastronomique - cuisine raffinée;;8 Rue du Champ de Foire;;72800;;;LE LUDE;72176;47.6439339;0.1569106;;;02 43 94 83 33;;didier.bourgine@wanadoo.fr;www.bistrotronsard.fr;;"Tripadvisor||https://www.tripadvisor.com/6785304 ; Google+||https://business.google.com/reviews/l/18074301904962049496";;;;;;oui;Terrase en partie couverte;Maitres Restaurateurs;Banquet,Séminaire,Service en terrasse,WiFi;50;3;30;1;;;oui;oui;10;45;oui;01/01/2023||31/12/2023||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||;BOURGINE||02.43.94.83.33||;;;Menu adulte du jour (midi en semaine)||22,00||30,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces,Tickets Restaurant,Virement;47.6439339, 0.1569106;Sarthe
RESTAURANT AUBERGE DE LA MAINE;Restaurant;Cuisine traditionnelle;;8 avenue de la Vendée;;44140;;;AIGREFEUILLE-SUR-MAINE;44002;47.0762784;-1.3996169;Route (nationale/départ.)||D137||0;;02 40 10 03 29;;aubergedelamaine@gmail.com;https://www.aubergedelamaine.fr;;;;;;;;non;;;Plats à emporter,Plats à emporter / Covid-19,Séminaire,Service en terrasse;;;;;;;oui;oui;;;oui;;||02 40 10 03 29||contact@aubergedelamaine.fr;;;;Cartes bancaires,Chèques Vacances,Chèques Vacances Connect,Espèces,Tickets Restaurant;47.0762784, -1.3996169;Loire-Atlantique
RESTAURANT AUBERGE DE LA ROSE;Restaurant;Cuisine traditionnelle;;3 rue Pasteur;;72430;;;NOYEN-SUR-SARTHE;72223;47.8720936;-0.0972458;;;02 43 92 19 72;;;;;Facebook||https://www.facebook.com/RestaurantAubergedelarose;;;;;;oui;accepté si tenue en laisse et non nuisible vis-à-vis des autres clients;;Banquet,Traiteur;30;2;;1;;;oui;oui;;30;oui;01/01/2023||31/12/2023||Ouvert tous les midis du lundi au dimanche midi et le samedi soir.||Fermé le lundi soir, mardi soir, mercredi soir, jeudi soir, vendredi soir et dimanche soir.||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||19:00||21:00||12:00||15:00||||;AUBERGE DE LA ROSE - MR OU MME DELETANG||02 43 92 19 72||;;;"Menu adulte du jour (midi en semaine)||14,00|||| ; Menu adulte soir et week-end||23,90|||| ; Menu enfant||10,00||||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.8720936, -0.0972458;Sarthe
RESTAURANT AUBERGE DES MATFEUX;Restaurant;Restaurant gastronomique - cuisine raffinée;;289 avenue Nationale;;72230;;;ARNAGE;72008;47.9154683;0.17867805;"Route (nationale/départ.)||D307||0 ; Autoroute||A 11||15 ; Aéroport/aérodrome||Le Mans||5 ; Gare SNCF||Le Mans||10 ; Héliport||||5";;02 43 21 10 71;;contact@aubergedesmatfeux.fr;https://www.aubergedesmatfeux.fr;;"Facebook||https://www.facebook.com/aubergedesmatfeux/ ; Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g670673-d2221219-Reviews-Auberge_des_Matfeux-Arnage_Sarthe_Pays_de_la_Loire.html ; Instagram||https://www.instagram.com/aubergedesmatfeux/ ; ||https://www.linkedin.com/company/26734028/";;;Bottin Gourmand,Champerard,Gault Millau,Guide du Routard Pays de la Loire,Le petit futé,Michelin,Pudlowski;;"Déficience mentale ; Déficience moteur ; Déficience visuelle";oui;;Maitres Restaurateurs,Qualité Tourisme;Climatisation,Plats à emporter,Plats à emporter / Covid-19,Séminaire,Traiteur,WiFi;;3;0;1;1;;oui;oui;1;10;;;MAXIME||02 43 21 10 71||reservation@matfeux.fr;;;"Menu enfant||||21,00|| ; Menu adulte du jour (midi en semaine)||38,00||53,00|| ; Plats à la carte||||88,00|| ; Plats à la carte||||61,00||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.9154683, 0.17867805;Sarthe
RESTAURANT AUBERGE DU BRACONNIER;Restaurant;Cuisine traditionnelle;;1, rue l'Abbé Chevalier;;72300;;;NOTRE-DAME-DU-PE;72232;47.7309391;-0.3262728;"Autoroute||Durtal||10 ; Gare SNCF||Sablé-sur-Sarthe||15";;02 43 92 62 38;;auberge-du-braconnier@orange.fr;https://www.aubergedubraconnier.fr/;;Facebook||https://www.facebook.com/Auberge-Du-Braconnier-225463654131026;;;;;;oui;;Auberge de Village;Banquet,Plats à emporter,Plats à emporter / Covid-19,Séminaire,Service en terrasse;85;2;50;1;;;oui;oui;25;60;oui;01/01/2023||31/12/2023||soirs du mardi au jeudi sur réservation avant 18h. Samedi midi sur réservation pour les groupes d'au moins 15 personnes||Fermé le lundi||||||||||09:00||15:00||||||09:00||15:00||||||09:00||15:00||||||09:00||15:00||||||||||19:00||22:00||10:00||15:30||||;||02 43 92 62 38||aubergedubraconnier@orange.fr;;;"Menu adulte du jour (midi en semaine)||13,10||14,50|| ; Menu adulte soir et week-end||23,00||25,00|| ; Menu enfant||7,50||||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.7309391, -0.3262728;Sarthe
RESTAURANT AUBERGE DU MANOIR;Restaurant;Cuisine traditionnelle;;1 rue de la mairie;;44170;;;ABBARETZ;44001;47.5528761;-1.5325386;;;02 40 87 00 41;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;47.5528761, -1.5325386;Loire-Atlantique
RESTAURANT AUX DELICES D'ASIE;Restaurant;Cuisine du Monde;;3, rue Pape Carpantier;;72200;;;LA FLECHE;72154;47.6982605;-0.073765;;;02 43 45 96 95;;guillaume85100@hotmail.fr;http://aux-delices-d-asie.webnode.fr;;;;;;;;oui;Petits chiens;;Banquet,Plats à emporter,Plats à emporter / Covid-19,Traiteur;40;1;0;;0;;oui;oui;;20;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.6982605, -0.073765;Sarthe
RESTAURANT AUX P'TITS RUISSEAUX;Restaurant;Cuisine traditionnelle;;2 Rue du Moulin;Villemoisan;49370;;;VAL D'ERDRE-AUXENCE;49183;47.46409;-0.89303;;;02 41 60 03 99;;;;;;;;;;;oui;;;Plats à emporter,WiFi;;1;;0;0;;oui;oui;;20;oui;01/01/2023||31/12/2023||Ouvert du mardi au dimanche tous les midis (le weekend sur réservation). En juillet/août, présence au bar de la piscine de Villemoisan les après-midis.||Fermé le lundi.||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||;Restaurant Aux P'tits Ruisseaux||02 41 60 03 99||catartaix@gmail.com;;;"Menu adulte du jour (midi en semaine)||13,50||13,50|| ; Menu adulte soir et week-end||15,00||||";;47.46409, -0.89303;Maine-et-Loire
RESTAURANT AUX P’TITS PÂTONS;Restaurant;Pizzeria;;15 rue d'Angers;;49370;;;BECON-LES-GRANITS;49026;47.5038164;-0.7991772;;;02 41 81 27 11;;aux.ptits.patons@gmail.com;http://www.restaurant-pizzeria-auxptitspatons.fr/;;Facebook||https://www.facebook.com/magaliecyril/timeline?ref=page_internal;;;;;;non;;;Plats à emporter;30;1;0;0;0;;oui;oui;8;20;oui;01/01/2023||31/12/2023||Ouvert du mardi au samedi midi ainsi que du jeudi au dimanche soir.||Ferme le lundi. Pas de fermeture pour congés.||||||||||11:00||14:30||||||11:00||14:30||||||11:00||14:30||18:30||21:30||11:00||14:30||18:30||21:30||11:00||14:30||18:30||21:30||11:00||14:30||18:30||21:30;Aux P'tits Pâtons ||02 41 81 27 11||;;;Plats à la carte||9,00||20,00||;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.5038164, -0.7991772;Maine-et-Loire
RESTAURANT BAR LIBERTÀ;Restaurant;;;1 Rue Gambetta;;72000;;;LE MANS;72181;48.004275;0.195565;;;02 43 83 00 40;;libertalemans@gmail.com;https://www.libertalemans.com/;;Facebook||https://www.facebook.com/famiglialiberta/;;;;;;;;;;;;;;;;oui;oui;;250;;||||||||12:00||||||01:00||12:00||||||01:00||12:00||||||01:00||12:00||||||01:00||12:00||||||01:00||12:00||||||01:00||12:00||||||01:00;;;;;;48.004275, 0.195565;Sarthe
RESTAURANT BISTROGLO;Restaurant;;;Rue du Château Gaillard;;49730;;;TURQUANT;49358;47.224729;0.025048;;;02 41 40 22 36;;bistrogloglo@gmail.com;http://www.bistroglo.com/;;"Tripadvisor|| ; Facebook||https://www.facebook.com/Bistroglo-145535812283910/ ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g651745-d3525546-Reviews-Le_Bistroglo-Turquant_Maine_et_Loire_Pays_de_la_Loire.html";;;;;;oui;;;Plats à emporter,Plats à emporter / Covid-19,Service en terrasse,WiFi;30;1;50;;;;oui;oui;;35;;01/04/2023||30/09/2023||Mardi, Mercredi, Jeudi, Vendredi, Samedi, Dimanche : ouvert||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.224729, 0.025048;Maine-et-Loire
RESTAURANT BRUT;Restaurant;Bistrot / bar à vin;;12 place Fournil;;44190;;;GETIGNE;44063;47.0757979;-1.2497649;Route (nationale/départ.)||||;;02 40 13 25 57;;restaurant.brut.getigne@gmail.com;https://www.facebook.com/restaurant.brut.getigne/;;"Facebook||https://www.facebook.com/restaurant.brut.getigne ; Instagram||https://www.instagram.com/brut.getigne/";;;Les Tables de Nantes;;;non;;;Plats à emporter,Plats à emporter / Covid-19,Séminaire,Service en terrasse,WiFi;60;4;20;1;;;oui;oui;;40;oui;;||02 40 13 25 57||;;;Menu adulte soir et week-end||||||menu du midi entre 15 et 19,50 hors carte et le soir tapas et planches à partir de 6 € en bar à vins.;Cartes bancaires,Espèces,Tickets Restaurant,Virement;47.0757979, -1.2497649;Loire-Atlantique
RESTAURANT BRUT.;Restaurant;Restaurant gastronomique - cuisine raffinée;;16 rue des Prés Garnier;Saillé;44350;;;GUERANDE;44069;47.29516;-2.43186;;;02 40 42 33 10;;restaurantsbrut@gmail.com;https://restaurantsbrut.com;;;;;Gault Millau,Michelin;;;oui;;Maitres Restaurateurs;;40;;;;;;oui;oui;;20;;"||||||||||||||||||||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00 ; 19/01/2023||31/12/2023||||||||||||||||||||||12:00||14:00||19:00||21:15||12:00||14:00||19:00||21:15||12:00||14:00||19:00||21:15||12:00||14:00||19:00||21:15||12:00||14:00||19:00||21:15";;;;Menu adulte du jour (midi en semaine)||49,00||85,00||;Cartes bancaires,Espèces,Virement;47.29516, -2.43186;Loire-Atlantique
RESTAURANT CAFETERIA CRESCENDO;Restaurant;Cafétéria;;Boulevard de la Prairie;C.C. Leclerc - Espace 23 Nord;44150;;;ANCENIS-SAINT-GEREON;44003;47.3728836;-1.1952263;Route (nationale/départ.)||RD723||0,75;;02 40 98 14 50;;ancenis@crescendo-restauration.fr;;;;;;;;;oui;;;Plats à emporter / Covid-19,WiFi;220;1;40;;1;;non;non;;;non;||||Ouvert tous les jours midi et soir.||Fermé le 25 décembre et le 1er janvier.||08:00||21:30||||||08:00||21:30||||||08:00||21:30||||||08:00||21:30||||||08:00||22:00||||||08:00||22:00||||||08:00||21:30||||;||02 40 98 14 50||;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.3728836, -1.1952263;Loire-Atlantique
RESTAURANT CAMPANILE;Hôtel restaurant;Cuisine traditionnelle;;Route de La Flèche;;72300;;;SABLE-SUR-SARTHE;72264;47.8300026;-0.3123011;"Route (nationale/départ.)||||0 ; Autoroute||A11||6 ; Aéroport/aérodrome||||14 ; Gare SNCF||||4";;02 43 92 44 92;;sablesursarthe.vion@campanile.fr;;;Facebook||https://www.facebook.com/Campanile-902435193215527;;;;;;non;;;Banquet,Séminaire,Service en terrasse,WiFi;65;1;16;1;0;;oui;oui;20;80;oui;01/01/2023||31/12/2023||||Midi et dimanche soir||||||19:00||21:30||||||19:00||21:30||||||19:00||21:30||||||19:00||21:30||||||19:00||21:00||||||19:00||21:30||||||||;LOCHARD||02.43.92.44.92||sablesursarthe.vion@campanile.fr;;;"Menu enfant||7,00|||| ; Menu adulte soir et week-end||17,95||||";Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.8300026, -0.3123011;Sarthe
